id	moh_id	name	centroid
MOH-82003	MOH-82003	Bibila	[7.1893109623266716, 81.29703725642293]
MOH-82004	MOH-82004	Wellawaya	[6.613036354651888, 81.12324499910208]
MOH-82005	MOH-82005	Buttala	[6.6551751608906375, 81.2947323776331]
MOH-82006	MOH-82006	Siyambalanduwa	[6.850996823017496, 81.5266737053867]
MOH-82007	MOH-82007	Kataragama	[6.497923538819629, 81.41112538437488]
MOH-82008	MOH-82008	Badalkumbura	[6.8696037073578795, 81.21540449500957]
MOH-82009	MOH-82009	Sevanagala	[6.378145241811987, 80.9336650856534]
MOH-82010	MOH-82010	Madulla	[7.161447720831587, 81.43044609638154]
MOH-91001	MOH-91001	AYAGAMA	[6.652391606280987, 80.28951112702485]
MOH-91002	MOH-91002	BALANGODA	[6.627789958707966, 80.77201485069916]
MOH-91003	MOH-91003	EHELIYAGODA	[6.837496006855154, 80.22753779216747]
MOH-91004	MOH-91004	ELAPATHA	[6.662016829364125, 80.35349145185569]
MOH-91005	MOH-91005	EMBILIPITIYA	[6.351840361186371, 80.81739207597819]
MOH-91006	MOH-91006	GODAKAWELA	[6.499133274708944, 80.64163133566609]
MOH-91007	MOH-91007	IMBULPE	[6.714690151507565, 80.73774205795124]
MOH-91008	MOH-91008	KAHAWATHTHA	[6.528196192575508, 80.54565127223931]
MOH-91009	MOH-91009	KALAWANA	[6.464410974242051, 80.45226581835136]
MOH-91010	MOH-91010	KIRIELLA	[6.758597064702457, 80.27393460189629]
MOH-91011	MOH-91011	KOLONNA	[6.391769029075028, 80.68635527055392]
MOH-91012	MOH-91012	KURUWITA	[6.797913947253468, 80.3566068772832]
MOH-91013	MOH-91013	NIVITHIGALA	[6.570634913735901, 80.457536110188]
MOH-91014	MOH-91014	OPANAYAKA	[6.611903632792634, 80.62551441586412]
MOH-91015	MOH-91015	PELMADULLA	[6.6356555500597345, 80.51008591322883]
MOH-91016	MOH-91016	RATNAPURA-MC	[6.682695622143179, 80.41795215290081]
MOH-91017	MOH-91017	RATNAPURA	[6.735557738544441, 80.48927913142637]
MOH-91018	MOH-91018	WELIGEPOLA	[6.542479839231121, 80.74366917370314]
MOH-92001	MOH-92001	ARANAYAKA	[7.1720117236375085, 80.44535798147523]
MOH-92002	MOH-92002	BULATHKOHUPITIYA	[7.0973481340203755, 80.35828595257875]
MOH-92003	MOH-92003	DEHIOVITA	[6.939019774622642, 80.28090307426753]
MOH-92004	MOH-92004	DERANIYAGALA	[6.90689725171894, 80.40284603505265]
MOH-92005	MOH-92005	GALIGAMUWA	[7.2151544442355995, 80.3054390114748]
MOH-92006	MOH-92006	KEGALLE	[7.196727527260799, 80.37638231668255]
MOH-92007	MOH-92007	MAWANELLA	[7.230010583357891, 80.47371213457349]
MOH-92008	MOH-92008	RAMBUKKANA	[7.318517923876352, 80.38769540804049]
MOH-92009	MOH-92009	RUWANWELLA	[7.063651710605714, 80.21876706170578]
MOH-92010	MOH-92010	WARAKAPOLA	[7.203836260825044, 80.23218478513553]
MOH-92011	MOH-92011	YATIYANTHOTA	[7.0335940862409, 80.36864992682314]
