id	dsd_id	name	province_id	district_id	centroid
LK-7148	LK-7148	Thalawa	LK-7	LK-71	8.184307,80.377244
LK-7151	LK-7151	Thirappane	LK-7	LK-71	8.204455,80.556880
LK-7154	LK-7154	Kekirawa	LK-7	LK-71	8.059796,80.624308
LK-7157	LK-7157	Palugaswewa	LK-7	LK-71	8.080050,80.719729
LK-7160	LK-7160	Ipalogama	LK-7	LK-71	8.085965,80.507877
LK-7163	LK-7163	Galnewa	LK-7	LK-71	8.019165,80.449922
LK-7166	LK-7166	Palagala	LK-7	LK-71	7.906171,80.537801
LK-7203	LK-7203	Hingurakgoda	LK-7	LK-72	8.105402,80.871855
LK-7206	LK-7206	Medirigiriya	LK-7	LK-72	8.184528,81.040361
LK-7209	LK-7209	Lankapura	LK-7	LK-72	8.056455,81.095277
LK-7210	LK-7210	Welikanda	LK-7	LK-72	8.041277,81.234527
LK-7212	LK-7212	Dimbulagala	LK-7	LK-72	7.788259,81.123945
LK-7215	LK-7215	Thamankaduwa	LK-7	LK-72	7.873365,80.987918
LK-7218	LK-7218	Elahera	LK-7	LK-72	7.809039,80.841816
LK-8103	LK-8103	Mahiyanganaya	LK-8	LK-81	7.438558,81.083196
LK-8106	LK-8106	Rideemaliyadda	LK-8	LK-81	7.273958,81.128715
LK-8109	LK-8109	Meegahakivula	LK-8	LK-81	7.125471,81.083227
LK-8112	LK-8112	Kandaketiya	LK-8	LK-81	7.130739,80.994074
LK-8115	LK-8115	Soranathota	LK-8	LK-81	7.045630,81.049521
LK-8118	LK-8118	Passara	LK-8	LK-81	6.965023,81.147937
LK-8119	LK-8119	Lunugala	LK-8	LK-81	7.038373,81.188135
LK-8121	LK-8121	Badulla	LK-8	LK-81	6.986231,81.088857
LK-8124	LK-8124	Hali-Ela	LK-8	LK-81	6.945038,81.020139
LK-8127	LK-8127	Uva Paranagama	LK-8	LK-81	6.966606,80.917512
LK-8130	LK-8130	Welimada	LK-8	LK-81	6.859960,80.880949
LK-8133	LK-8133	Bandarawela	LK-8	LK-81	6.829780,81.006462
LK-8136	LK-8136	Ella	LK-8	LK-81	6.867709,81.066475
LK-8139	LK-8139	Haputale	LK-8	LK-81	6.792169,80.962825
LK-8142	LK-8142	Haldummulla	LK-8	LK-81	6.700947,80.964469
LK-8203	LK-8203	Bibile	LK-8	LK-82	7.189262,81.296916
LK-8206	LK-8206	Madulla	LK-8	LK-82	7.159372,81.429896
LK-8209	LK-8209	Medagama	LK-8	LK-82	7.052620,81.292590
LK-8212	LK-8212	Siyambalanduwa	LK-8	LK-82	6.850997,81.526674
LK-8215	LK-8215	Moneragala	LK-8	LK-82	6.831522,81.355555
LK-8218	LK-8218	Badalkumbura	LK-8	LK-82	6.869997,81.216918
LK-8221	LK-8221	Wellawaya	LK-8	LK-82	6.612795,81.123411
LK-8224	LK-8224	Buttala	LK-8	LK-82	6.655175,81.294732
LK-8227	LK-8227	Katharagama	LK-8	LK-82	6.497924,81.411125
LK-8230	LK-8230	Thanamalvila	LK-8	LK-82	6.493995,81.013717
LK-8233	LK-8233	Sevanagala	LK-8	LK-82	6.378145,80.933665
LK-9103	LK-9103	Eheliyagoda	LK-9	LK-91	6.839063,80.243994
LK-9106	LK-9106	Kuruvita	LK-9	LK-91	6.792730,80.368502
LK-9109	LK-9109	Kiriella	LK-9	LK-91	6.761346,80.265646
LK-9112	LK-9112	Ratnapura	LK-9	LK-91	6.730837,80.484405
LK-9115	LK-9115	Imbulpe	LK-9	LK-91	6.714690,80.737742
LK-9118	LK-9118	Balangoda	LK-9	LK-91	6.629404,80.767917
