id	name	country_id	province_id	district_id	ed_id	pd_id	centroid
EC-19F	Uva Paranagama	LK	LK-8	LK-81	EC-19	EC-19F	[6.96740054623925, 80.91732620282653]
EC-19G	Welimada	LK	LK-8	LK-81	EC-19	EC-19G	[6.8596314325620265, 80.88141534144401]
EC-19H	Bandarawela	LK	LK-8	LK-81	EC-19	EC-19H	[6.85288282859186, 81.04314551198657]
EC-19I	Haputale	LK	LK-8	LK-81	EC-19	EC-19I	[6.713969359841743, 80.96423532195875]
EC-20A	Bibile	LK	LK-8	LK-82	EC-20	EC-20A	[7.151570422983808, 81.36267786080505]
EC-20B	Monaragala	LK	LK-8	LK-82	EC-20	EC-20B	[6.850235517224836, 81.44942502037537]
EC-20C	Wellawaya	LK	LK-8	LK-82	EC-20	EC-20C	[6.555975911474727, 81.18662196326493]
EC-21A	Eheliyagoda	LK	LK-9	LK-91	EC-21	EC-21A	[6.814519556117265, 80.26306312014006]
EC-21B	Ratnapura	LK	LK-9	LK-91	EC-21	EC-21B	[6.7605406271284485, 80.41295079438476]
EC-21C	Pelmadulla	LK	LK-9	LK-91	EC-21	EC-21C	[6.670271692028658, 80.52413095270646]
EC-21D	Balangoda	LK	LK-9	LK-91	EC-21	EC-21D	[6.670534081514881, 80.75340972373864]
EC-21E	Rakwana	LK	LK-9	LK-91	EC-21	EC-21E	[6.538733718568157, 80.68693862560662]
EC-21F	Nivithigala	LK	LK-9	LK-91	EC-21	EC-21F	[6.576300445981638, 80.4686028272208]
EC-21G	Kalawana	LK	LK-9	LK-91	EC-21	EC-21G	[6.5246722284515135, 80.4027719971771]
EC-21H	Kolonna	LK	LK-9	LK-91	EC-21	EC-21H	[6.366175954460242, 80.77206217393854]
EC-22A	Dedigama	LK	LK-9	LK-92	EC-22	EC-22A	[7.203836260825044, 80.23218478513553]
EC-22B	Galigamuwa	LK	LK-9	LK-92	EC-22	EC-22B	[7.203688151509849, 80.31016455723714]
EC-22C	Kegalle	LK	LK-9	LK-92	EC-22	EC-22C	[7.212541000215485, 80.36780365499379]
EC-22D	Rambukkana	LK	LK-9	LK-92	EC-22	EC-22D	[7.323137513662999, 80.3863151048717]
EC-22E	Mawanella	LK	LK-9	LK-92	EC-22	EC-22E	[7.226987298723474, 80.47347626246957]
EC-22F	Aranayaka	LK	LK-9	LK-92	EC-22	EC-22F	[7.1616275674819985, 80.43977107683924]
EC-22G	Yatiyanthota	LK	LK-9	LK-92	EC-22	EC-22G	[7.050784024583566, 80.36737248125348]
EC-22H	Ruwanwella	LK	LK-9	LK-92	EC-22	EC-22H	[7.04246895753348, 80.22765377819016]
EC-22I	Deraniyagala	LK	LK-9	LK-92	EC-22	EC-22I	[6.911335529701909, 80.36062514487554]
