id	name	centroid	province_id	district_id	dsd_id	ed_id
LK-6236	Madampe	[7.518536, 79.864847]	LK-6	LK-62	LK-6236	EC-16
LK-6239	Mahawewa	[7.454829, 79.850952]	LK-6	LK-62	LK-6239	EC-16
LK-6242	Nattandiya	[7.395957, 79.874002]	LK-6	LK-62	LK-6242	EC-16
LK-6245	Wennappuwa	[7.324474, 79.854651]	LK-6	LK-62	LK-6245	EC-16
LK-6248	Dankotuwa	[7.320857, 79.906043]	LK-6	LK-62	LK-6248	EC-16
LK-7103	Padaviya	[8.851961, 80.784529]	LK-7	LK-71	LK-7103	EC-17
LK-7106	Kebithigollewa	[8.717653, 80.70923]	LK-7	LK-71	LK-7106	EC-17
LK-7109	Medawachchiya	[8.588659, 80.496943]	LK-7	LK-71	LK-7109	EC-17
LK-7112	Mahawilachchiya	[8.538552, 80.181558]	LK-7	LK-71	LK-7112	EC-17
LK-7115	Nuwaragam Palatha Central	[8.415286, 80.352498]	LK-7	LK-71	LK-7115	EC-17
LK-7118	Rambewa	[8.475728, 80.550657]	LK-7	LK-71	LK-7118	EC-17
LK-7121	Kahatagasdigiliya	[8.422803, 80.7116]	LK-7	LK-71	LK-7121	EC-17
LK-7124	Horowpothana	[8.51213, 80.850711]	LK-7	LK-71	LK-7124	EC-17
LK-7127	Galenbindunuwewa	[8.266313, 80.706992]	LK-7	LK-71	LK-7127	EC-17
LK-7130	Mihinthale	[8.350029, 80.543089]	LK-7	LK-71	LK-7130	EC-17
LK-7133	Nuwaragam Palatha East	[8.307963, 80.447602]	LK-7	LK-71	LK-7133	EC-17
LK-7136	Nachchaduwa	[8.252432, 80.422656]	LK-7	LK-71	LK-7136	EC-17
LK-7139	Nochchiyagama	[8.332071, 80.124772]	LK-7	LK-71	LK-7139	EC-17
LK-7142	Rajanganaya	[8.182839, 80.184194]	LK-7	LK-71	LK-7142	EC-17
LK-7145	Thambuttegama	[8.155534, 80.316308]	LK-7	LK-71	LK-7145	EC-17
LK-7148	Thalawa	[8.184307, 80.377244]	LK-7	LK-71	LK-7148	EC-17
LK-7151	Thirappane	[8.204455, 80.55688]	LK-7	LK-71	LK-7151	EC-17
LK-7154	Kekirawa	[8.059796, 80.624308]	LK-7	LK-71	LK-7154	EC-17
LK-7157	Palugaswewa	[8.08005, 80.719729]	LK-7	LK-71	LK-7157	EC-17
LK-7160	Ipalogama	[8.085965, 80.507877]	LK-7	LK-71	LK-7160	EC-17
LK-7163	Galnewa	[8.019165, 80.449922]	LK-7	LK-71	LK-7163	EC-17
LK-7166	Palagala	[7.906171, 80.537801]	LK-7	LK-71	LK-7166	EC-17
LK-7203	Hingurakgoda	[8.105402, 80.871855]	LK-7	LK-72	LK-7203	EC-18
LK-7206	Medirigiriya	[8.184528, 81.040361]	LK-7	LK-72	LK-7206	EC-18
LK-7209	Lankapura	[8.056455, 81.095277]	LK-7	LK-72	LK-7209	EC-18
LK-7210	Welikanda	[8.041277, 81.234527]	LK-7	LK-72	LK-7210	EC-18
LK-7212	Dimbulagala	[7.788259, 81.123945]	LK-7	LK-72	LK-7212	EC-18
LK-7215	Thamankaduwa	[7.873365, 80.987918]	LK-7	LK-72	LK-7215	EC-18
LK-7218	Elahera	[7.809039, 80.841816]	LK-7	LK-72	LK-7218	EC-18
LK-8103	Mahiyanganaya	[7.438558, 81.083196]	LK-8	LK-81	LK-8103	EC-19
LK-8106	Rideemaliyadda	[7.273958, 81.128715]	LK-8	LK-81	LK-8106	EC-19
LK-8109	Meegahakivula	[7.125471, 81.083227]	LK-8	LK-81	LK-8109	EC-19
LK-8112	Kandaketiya	[7.130739, 80.994074]	LK-8	LK-81	LK-8112	EC-19
LK-8115	Soranathota	[7.04563, 81.049521]	LK-8	LK-81	LK-8115	EC-19
LK-8118	Passara	[6.965023, 81.147937]	LK-8	LK-81	LK-8118	EC-19
