id	lg_id	name	province_id	district_id
LG-72005	LG-72005	Dimbulagala PS	LK-7	LK-72
LG-72006	LG-72006	Polonnaruwa PS	LK-7	LK-72
LG-72007	LG-72007	Polonnaruwa MC	LK-7	LK-72
LG-72008	LG-72008	Elahera PS	LK-7	LK-72
LG-81001	LG-81001	Mahiyanganaya PS	LK-8	LK-81
LG-81002	LG-81002	Rideemaliyadda PS	LK-8	LK-81
LG-81003	LG-81003	Meegahakivula PS	LK-8	LK-81
LG-81004	LG-81004	Kandaketiya PS	LK-8	LK-81
LG-81005	LG-81005	Soranathota PS	LK-8	LK-81
LG-81006	LG-81006	Passara PS	LK-8	LK-81
LG-81007	LG-81007	Lunugala PS	LK-8	LK-81
LG-81008	LG-81008	Badulla MC	LK-8	LK-81
LG-81009	LG-81009	Badulla PS	LK-8	LK-81
LG-81010	LG-81010	Hali-Ela PS	LK-8	LK-81
LG-81011	LG-81011	Uva Paranagama PS	LK-8	LK-81
LG-81012	LG-81012	Welimada PS	LK-8	LK-81
LG-81013	LG-81013	Bandarawela PS	LK-8	LK-81
LG-81014	LG-81014	Bandarawela MC	LK-8	LK-81
LG-81015	LG-81015	Ella PS	LK-8	LK-81
LG-81016	LG-81016	Haputale PS	LK-8	LK-81
LG-81017	LG-81017	Haputale UC	LK-8	LK-81
LG-81018	LG-81018	Haldummulla PS	LK-8	LK-81
LG-82001	LG-82001	Bibile PS	LK-8	LK-82
LG-82002	LG-82002	Madulla PS	LK-8	LK-82
LG-82003	LG-82003	Medagama PS	LK-8	LK-82
LG-82004	LG-82004	Siyambalanduwa PS	LK-8	LK-82
LG-82005	LG-82005	Moneragala PS	LK-8	LK-82
LG-82006	LG-82006	Badalkumbura PS	LK-8	LK-82
LG-82007	LG-82007	Wellawaya PS	LK-8	LK-82
LG-82008	LG-82008	Buttala PS	LK-8	LK-82
LG-82009	LG-82009	Katharagama PS	LK-8	LK-82
LG-82010	LG-82010	Thanamalvila PS	LK-8	LK-82
LG-91001	LG-91001	Eheliyagoda PS	LK-9	LK-91
LG-91002	LG-91002	Kuruvita PS	LK-9	LK-91
LG-91003	LG-91003	Ratnapura PS	LK-9	LK-91
LG-91004	LG-91004	Ratnapura MC	LK-9	LK-91
LG-91005	LG-91005	Imbulpe PS	LK-9	LK-91
LG-91006	LG-91006	Balangoda UC	LK-9	LK-91
LG-91007	LG-91007	Balangoda PS	LK-9	LK-91
LG-91008	LG-91008	Weligepola PS	LK-9	LK-91
LG-91009	LG-91009	Pelmadulla PS	LK-9	LK-91
LG-91010	LG-91010	Nivithigala PS	LK-9	LK-91
LG-91011	LG-91011	Ayagama PS	LK-9	LK-91
LG-91012	LG-91012	Kalawana PS	LK-9	LK-91
LG-91013	LG-91013	Kahawatta PS	LK-9	LK-91
LG-91014	LG-91014	Godakawela PS	LK-9	LK-91
LG-91015	LG-91015	Embilipitiya PS	LK-9	LK-91
LG-91016	LG-91016	Embilipitiya UC	LK-9	LK-91
LG-91017	LG-91017	Kolonna PS	LK-9	LK-91
LG-92001	LG-92001	Rambukkana PS	LK-9	LK-92
LG-92002	LG-92002	Mawanella PS	LK-9	LK-92
LG-92003	LG-92003	Aranayaka PS	LK-9	LK-92
LG-92004	LG-92004	Kegalle PS	LK-9	LK-92
LG-92005	LG-92005	Kegalle UC	LK-9	LK-92
LG-92006	LG-92006	Galigamuwa PS	LK-9	LK-92
LG-92007	LG-92007	Warakapola PS	LK-9	LK-92
LG-92008	LG-92008	Ruwanwella PS	LK-9	LK-92
LG-92009	LG-92009	Bulathkohupitiya PS	LK-9	LK-92
LG-92010	LG-92010	Yatiyanthota PS	LK-9	LK-92
LG-92011	LG-92011	Dehiovita PS	LK-9	LK-92
LG-92012	LG-92012	Deraniyagala PS	LK-9	LK-92
